zip,totkbtu,avgktbu,totcust,gascust,eleccust,gaskbtu,eleckbtu
93653,14534052.04,2448.458902,5936,,5936,,14534052.04
93654,263538570.6,2317.617211,113711,,113711,,263538570.6
93656,57113696.6,2736.509827,20871,,20871,,57113696.6
93657,629136751.7,2619.951243,240133,95989,144144,279492700,349644051.7
93660,58054297.01,2259.361627,25695,12445,13250,32057300,25996997.01
93662,480056837.5,2528.944225,189825,76773,113052,223410500,256646337.5
93664,6418613.456,1524.249218,4211,,4211,,6418613.456
93665,12158415.52,2405.225623,5055,2365,2690,7042200,5116215.524
93666,4646465.012,2129.452343,2182,,2182,,4646465.012
93667,28424194.86,2333.103083,12183,0,12183,0,28424194.86
93668,17808937.5,2610.898328,6821,2569,4252,6572000,11236937.5
93669,3823565.676,1471.168017,2599,,2599,,3823565.676
93673,4712285.904,2155.666013,2186,,2186,,4712285.904
93675,48773216.14,2400.84746,20315,,20315,,48773216.14
93701,191601254.7,2142.160423,89443,43948,45495,112046800,79554454.72
93702,727979977.1,2431.568428,299387,148450,150937,417448200,310531777.1
93703,641673342.3,2510.498374,255596,124427,131169,364902500,276770842.3
93704,795517781.9,2698.216205,294831,146007,148824,460873800,334643981.9
93705,813060005,2593.484566,313501,153884,159617,452643000,360417005
93706,623721701,2586.414853,241153,106091,135062,315970100,307751601
93710,700211124,2455.132394,285203,139811,145392,372726900,327484224
93711,1279741705,3129.205303,408967,199227,209740,731351100,548390605.3
93720,1297176255,2796.530478,463852,228198,235654,722378500,574797755.4
93721,82162290.74,2145.957916,38287,18162,20125,38643500,43518790.74
93722,1731074133,2580.09985,670933,332118,338815,932530400,798543732.8
93723,196702404.1,2807.627806,70060,30722,39338,95313200,101389204.1
93725,394379832.6,2570.472163,153427,66709,86718,186396200,207983632.6
93726,919568440.6,2479.550129,370861,180358,190503,511244400,408324040.6
93727,1496455789,2585.038961,578891,281693,297198,803833700,692622089.3
93728,364590663.7,2645.373479,137822,67392,70430,203868100,160722563.7
93730,337776044,3176.796305,106326,52832,53494,194733700,143042344
93737,75415998.64,2673.94691,28204,9668,18536,24148300,51267698.64
93741,0,0,0,,0,,0
93901,538464128,2185.032556,246433,117155,129278,388074100,150390028
93905,658429160.7,2032.709492,323917,156606,167311,479288000,179141160.7
93906,893978728.1,2134.476988,418828,202310,216518,624504400,269474328.1
93907,355393744.9,2275.962017,156151,64843,91308,208619700,146774044.9
93908,323266136.4,3187.651721,101412,39530,61882,197467300,125798836.4
93920,7189919.94,2013.983176,3570,0,3570,0,7189919.94
93921,126558011.2,2739.350893,46200,21552,24648,93667000,32891011.25
93923,538504933.6,3513.737928,153257,70196,83061,385186700,153318233.6
93924,165595091.9,3221.569042,51402,18817,32585,96003800,69591291.89
93925,17844530.16,2181.216252,8181,3118,5063,9764300,8080230.16
93926,118470506.6,2177.806699,54399,26139,28260,82231600,36238906.59
93927,222937884.9,2107.561778,105780,50268,55512,153873300,69064584.86
93930,209947619.8,2187.11385,95993,45005,50988,141139300,68808319.78
93932,8546787.04,2419.81513,3532,,3532,,8546787.04
93933,425843912.7,2084.364049,204304,100538,103766,297265900,128578012.7
93940,740275452.5,2307.915551,320755,146975,173780,535091400,205184052.5
93943,0,0,0,0,0,0,0
93950,423886887.1,2309.104259,183572,88802,94770,320061300,103825587.1
93953,321546702.9,4583.832795,70148,34831,35317,239780600,81766102.89
93954,2892028.26,2039.512172,1418,,1418,,2892028.26
93955,521224445.1,2288.310255,227777,111793,115984,382961600,138262845.1
93960,238001280.1,2153.370551,110525,52950,57575,160381600,77619680.12
93962,17774843.56,2546.539193,6980,3494,3486,12985600,4789243.564
94002,667587091.5,2571.915997,259568,122056,137512,476363800,191223291.5
94005,102141210.7,2209.70082,46224,22200,24024,71394000,30747210.7
94010,1474412363,3617.745954,407550,187061,220489,1053002600,421409763.4
94014,711528322.8,2174.78367,327172,151846,175326,482435100,229093222.8
94015,1022391014,2334.876413,437878,198445,239433,709034500,313356513.9
94018,115020345.6,2532.874097,45411,21183,24228,75439600,39580745.64
94019,317957490.9,2791.304459,113910,52039,61871,215139000,102818490.9
94020,18468200.64,2139.752131,8631,0,8631,0,18468200.64
