zip,totkbtu,avgktbu,gascust,eleccust,gaskbtu,eleckbtu,totcust
93427,43463485.63,22737.89465,,22938,,43463485.63,22938
93428,58781990.59,14211.1348,,49636,,58781990.59,49636
93429,0,0,,0,,0,0
93430,32192090.34,13853.50849,,27885,,32192090.34,27885
93432,19612718.51,26934.38111,,8738,,19612718.51,8738
93433,79769410.72,13646.29385,,70146,,79769410.72,70146
93434,25662003.44,12893.85928,,23883,,25662003.44,23883
93435,0,0,,0,,0,0
93436,87198549.4,17925.49068,,58374,,87198549.4,58374
93437,0,0,,0,,0,0
93440,14446571.78,21548.64653,,8045,,14446571.78,8045
93441,15318638.03,30244.10273,,6078,,15318638.03,6078
93442,84528529.74,13701.95946,,74029,,84528529.74,74029
93444,131069267.5,16219.93843,,96969,,131069267.5,96969
93445,38943380.62,14560.54113,,32095,,38943380.62,32095
93446,430239883,22220.07383,0,232352,0,430239883,232352
93449,80806552.95,16040.73771,,60451,,80806552.95,60451
93450,9508790.992,44090.22098,1612,2588,4630600,4878190.992,976
93451,41347885.26,26172.30843,0,18958,0,41347885.26,18958
93452,3061945.86,12626.58087,,2910,,3061945.86,2910
93453,31454576.31,24891.51383,,15164,,31454576.31,15164
93454,187786284.9,15718.71805,,143360,,187786284.9,143360
93455,268933273.6,16928.94836,0,190632,0,268933273.6,190632
93458,186258623.4,14387.53447,,155350,,186258623.4,155350
93460,75133553.62,34076.7497,,26458,,75133553.62,26458
93461,27123991.63,54275.12082,4151,5997,13684400,13439591.63,1846
93463,80824186.17,23568.48352,,41152,,80824186.17,41152
93465,95331563.2,24911.8869,0,45921,0,95331563.2,45921
93516,35588100,45258.28741,9436,,35588100,,9436
93523,15867100,37891.58209,5025,,15867100,,5025
93526,0,0,0,,0,,0
93555,449174300,34036.95125,158360,,449174300,,158360
93561,82614400,54951.10027,18041,0,82614400,0,18041
93562,22004400,29662.18827,8902,,22004400,,8902
93601,26593537.44,27885.56879,,11444,,26593537.44,11444
93602,48878916.49,25842.4901,,22697,,48878916.49,22697
93603,3999655.584,17835.69937,,2691,,3999655.584,2691
93604,22802648.49,20108.15563,,13608,,22802648.49,13608
93606,18005527.78,56979.51829,3614,3792,10497200,7508327.78,178
93608,8358233.096,26263.10478,0,3819,0,8358233.096,3819
93609,53867178.6,34967.33437,,18486,,53867178.6,18486
93610,339426339.6,56776.08134,53812,71740,161648000,177778339.6,17928
93611,1180840625,66913.57716,204125,211767,640889400,539951224.6,7642
93612,853834401.5,54334.46367,175029,188573,438894800,414939601.5,13544
93614,161909052.5,31266.13074,,62141,,161909052.5,62141
93615,36408329.45,24766.16708,,17641,,36408329.45,17641
93616,20387177.68,29758.6829,0,8221,0,20387177.68,8221
93618,238574822.8,27289.86505,,104907,,238574822.8,104907
93619,791084029.8,58182.56031,113282,163159,353540000,437544029.8,49877
93620,170351655.8,52245.76047,27767,39127,77882300,92469355.82,11360
93621,7132182.076,25709.27753,,3329,,7132182.076,3329
93622,139971501.1,52494.23424,26748,31997,75230200,64741301.08,5249
93623,2737495.368,12615.18603,,2604,,2737495.368,2604
93624,7016122.896,31807.13062,,2647,,7016122.896,2647
93625,144307200.2,56056.14408,22614,30892,70753000,73554200.24,8278
93626,26388077.04,32534.35985,,9733,,26388077.04,9733
93627,0,0,0,0,0,0,0
93628,2053314.304,7450.792757,,3307,,2053314.304,3307
93630,314024732.8,51852.77605,55591,72673,146826200,167198532.8,17082
93631,182315177.1,30137.64584,,72593,,182315177.1,72593
93633,1406736.892,6131.799021,,2753,,1406736.892,2753
93635,821766618.5,59415.91154,147779,165969,436850000,384916618.5,18190
93636,152768874.4,37691.2392,0,48638,0,152768874.4,48638
93637,736602696.6,57957.6188,131994,152512,374978700,361623996.6,20518
93638,631867677.9,46410.8078,105023,163376,265391500,366476177.9,58353
93640,162358572.3,55959.98584,31674,34816,95901100,66457472.25,3142
93641,5949531.696,18074.52667,,3950,,5949531.696,3950
93643,44633511.61,25197.69191,,21256,,44633511.61,21256
93644,121224364.5,27645.23707,,52620,,121224364.5,52620
93645,6015072.804,30598.08124,,2359,,6015072.804,2359
93646,63556456.78,24201.22744,,31514,,63556456.78,31514
93647,76218426.32,25853.55219,,35377,,76218426.32,35377
93648,99406538.68,25429.62894,,46909,,99406538.68,46909
93650,77555386.68,65873.77125,13809,14128,39709800,37845586.68,319
93651,22372552.24,34173.95963,,7856,,22372552.24,7856
93652,4306882.3,30873.70824,,1674,,4306882.3,1674
93653,14534052.04,29381.50683,,5936,,14534052.04,5936
93654,263538570.6,27811.40653,,113711,,263538570.6,113711
93656,57113696.6,32838.11793,,20871,,57113696.6,20871
93657,629136751.7,52375.68696,95989,144144,279492700,349644051.7,48155
93660,58054297.01,52577.47654,12445,13250,32057300,25996997.01,805
93662,480056837.5,50956.03837,76773,113052,223410500,256646337.5,36279
93664,6418613.456,18290.99061,,4211,,6418613.456,4211
93665,12158415.52,54238.28487,2365,2690,7042200,5116215.524,325
93666,4646465.012,25553.42811,,2182,,4646465.012,2182
93667,28424194.86,27997.237,0,12183,0,28424194.86,12183
93668,17808937.5,50260.40686,2569,4252,6572000,11236937.5,1683
93669,3823565.676,17654.0162,,2599,,3823565.676,2599
93673,4712285.904,25867.99215,,2186,,4712285.904,2186
93675,48773216.14,28810.16952,,20315,,48773216.14,20315
93701,191601254.7,50537.75265,43948,45495,112046800,79554454.72,1547
93702,727979977.1,57876.86071,148450,150937,417448200,310531777.1,2487
93703,641673342.3,58703.50546,124427,131169,364902500,276770842.3,6742
93704,795517781.9,64144.31397,146007,148824,460873800,334643981.9,2817
93705,813060005,61125.82031,153884,159617,452643000,360417005,5733
93706,623721701,55416.47845,106091,135062,315970100,307751601,28971
93710,700211124,57792.26841,139811,145392,372726900,327484224,5581
93711,1279741705,73218.74923,199227,209740,731351100,548390605.3,10513
93720,1297176255,66054.95797,228198,235654,722378500,574797755.4,7456
